Key,Description,Standard,English,Portuguese
SAY.Flowchart.6.,,小心不要靠近，我下方有潛水員！, I have a diver down; keep well clear at slow speed. ,Há um mergulhador no mar; passe de largo em velocidade lenta.
SAY.Flowchart.44.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.34.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.45.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.41.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.43.,,正確答案：A,Correct answer:A,Resposta correta:A
SAY.Flowchart.46.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.54.,,不要靠近我，我的船隻操作困難,Keep clear of me; I am maneuvering with difficulty. ,Mantenha-se afastado; Estou a manobrar com dificuldade. 
SAY.Flowchart.56.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.64.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.65.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.67.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.68.,,正確答案：D,Correct answer:D,Resposta correta:D
SAY.Flowchart.69.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.80.,,我快要到岸了，請為我提供引航員，以順利進入水域中。,I require a pilot. ,Preciso de um piloto. 
SAY.Flowchart.82.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.90.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.91.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.93.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.94.,,正確答案：G,Correct answer:G,Resposta correta:G
SAY.Flowchart.95.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.106.,,我們已有引航員在船上。, I have a pilot on board. ,Tenho um piloto a bordo. 
SAY.Flowchart.108.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.116.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.117.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.119.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.120.,,正確答案：H,Correct answer:H,Resposta correta:H
SAY.Flowchart.121.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.156.,,危險！快速遠離我，我船失火，而且船上有危險物，危險貨物正滲漏出來。, I am on fire and have dangerous cargo on board: keep well clear of me. I am leaking dangerous cargo. ,Há fogo a bordo e tenho carga perigosa: fique bem longe. Estou a verter carga perigosa. 
SAY.Flowchart.158.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.168.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.169.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.171.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.172.,,正確答案：J,Correct answer:J,Resposta correta:J
SAY.Flowchart.173.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.186.,,請你立即停船，不能前進！,You should stop your vessel instantly. ,Páre a sua embarcação de imediato. 
SAY.Flowchart.188.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.198.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.199.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.201.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.202.,,正確答案：L,Correct answer:L,Resposta correta:L
SAY.Flowchart.203.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.216.,,注意！有人跌下水了！,Man overboard. ,Homem ao mar. 
SAY.Flowchart.218.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.228.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.229.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.231.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.232.,,正確答案：O,Correct answer:O,Resposta correta:O
SAY.Flowchart.233.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.246.,,我們已在港口準備要出海，所有人員應立即回船上。,All persons should report on board as the vessel is about to proceed to sea. ,Devem apresentar-se todos a bordo pois o navio está prestes a zarpar. 
SAY.Flowchart.248.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.258.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.259.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.261.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.262.,,正確答案：P,Correct answer:P,Resposta correta:P
SAY.Flowchart.263.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.276.,,注意，我的船隻正向後推進。, I am operating astern propulsion. ,Estou a fazer marcha à ré. 
SAY.Flowchart.278.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.288.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.289.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.291.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.292.,,正確答案：S,Correct answer:S,Resposta correta:S
SAY.Flowchart.293.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.306.,,小心！你的船隻周圍有危險。,You are running into danger. ,Está a avançar para o perigo. 
SAY.Flowchart.308.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.330.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.331.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.333.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.334.,,正確答案：U,Correct answer:U,Resposta correta:U
SAY.Flowchart.335.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.348.,,求救！我們需要援助！,I require assistance. ,Preciso de assistência.
SAY.Flowchart.350.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.360.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.361.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.363.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.364.,,正確答案：V,Correct answer:V,Resposta correta:V
SAY.Flowchart.365.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.378.,,求救！我們需要醫療援助！,I require medical assistance. ,Preciso de assistência médica.
SAY.Flowchart.380.,,請轉動轉盤選擇答案,Please turn the dial to choose the answer,"Por favor, Vire o botão para escolher a resposta"
SAY.Flowchart.390.,,回答正確,Correct answer,Resposta correta
SAY.Flowchart.391.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.393.,,回答錯誤,Wrong answer,Resposta errada.
SAY.Flowchart.394.,,正確答案：W,Correct answer:W,Resposta correta:W
SAY.Flowchart.395.,,進入下一題,Next Question,Próxima pergunta
進入下一題,,,,
SAY.Flowchart.442.,,感謝你的幫忙！來看看你答對多少題，能否成為一等船長？,Thank you for your help! Let’s see how many correct answers you have got and if you can become our First Captain.,Obrigado pela ajuda! Vamos ver quantas respostas correctas obteve e se pode tornar-se o nosso primeiro capitão.
SAY.Flowchart.443.,,你成功答對了：{$CorrectCount} 題,You’ve got {$CorrectCount} correct answers.,Você tem {$CorrectCount} respostas correctas.
